A,1,1,1,ウェーブレット木を用いたN-gramIDFの近似値計算手法,N-gram IDFの近似計算手法について述べる,ウェーブレット木,"白川真澄,原隆浩","大阪大学,大阪大学"
A,1,2,1,品質リスクを考慮した機械翻訳の訳文配信,機械翻訳します,"機械翻訳,配信",江原遙,首都大学東京
A,1,3,1,単語・パラグラフの分散表現を用いたTwitterからの日本語評判情報抽出,情報抽出します,情報抽出,芥子育雄,奈良先端科学技術大学院大学
A,1,4,1,潜在領域を用いた転移学習による文書分類,文書分類します,文書分類,白井匡人,法政大学
B,1,1,1,コスメアイテム評価表現辞書を用いた評価項目別レビュー自動スコアリング方式,コスメアイテムです,コスメアイテム,松波友稀,京都産業大学
B,1,2,1,ユーザの潜在的興味に基づくWeb広告推薦方式の検討,広告推薦方式の検討,広告推薦,山口由莉子,京都産業大学
B,1,3,1,プログラマー向けQAサイトにおける質問形式の調査・検討,QAサイトについて,プログラマ,小瀬川博将,筑波大学
C,1,1,1,多峰性のあるコピュラを用いた文書の適合度の統合手法の提案及びその検証,コピュラを用いた文書の適合度,コピュラ,小田松卓也,東京工業大学
C,1,2,1,類似語の例示を用いた多義的クエリの曖昧性解消手法,曖昧性解消します,類似語,橋本泰平,京都大学
C,1,3,1,事象と記事の主題・背景関係の分析に基づくニュース記事の理解支援,ニュース記事の理解支援について,分析,田中祥太郎,京都大学
D,1,1,1,Hashtag Sense Disambiguation Based on Content and Temporal Proximities,Hashtag Sense Disambiguation,Hashtag,ZOU MINXIN,早稲田大学
D,1,2,1,Search for Similar Marks for Detecting Trademark Infringement and Dilution,Detecting Trademark Infringement and Dilution,Detection,Nakano Shuntaro,京都大学
E,1,1,1,邦楽アーティストを対象とした文脈依存の動的アーティストネットワーク生成方式,動的アーティストネットワーク生成する,ネットワーク,廣田雅直,筑波大学
A,2,1,1,Twitterのユーザプロフィールを用いた観光地の類型化,観光地の類型化,Twitter,鈴木祥平,首都大学東京大学院
B,2,1,1,アートSNSにおける発見性が高い作品の推薦手法,推薦します,SNS,高直暉,九州大学
C,2,1,1,単語ベクトルを用いた認知症ケア情報の文書クラスタリング精度向上,クラスタリングします,クラスタリング,中島緋沙恵,高崎健康福祉大学
D,2,1,1,Star編集距離を用いたグラフ分類学習,グラフ分類学習,グラフ分類,塩月英美,関西学院大学
E,2,1,1,ユーザの好みと献立バランスを考慮したレシピ入替えを行うグループ向け献立推薦,献立推薦します,レシピ,西脇崇文,電気通信大学
A,3,1,2,グッドアンサーのための回答文の客観的評価値の妥当性について,グッドアンサー,妥当性,横山友也,日本学術振興会
A,3,2,2,MOOC受講生の科目選択支援のための科目内容解析,科目内容解析,解析,戴憶菱,京都大学
